date,addtocart,transaction,view,conversion_rate
2015-05-03,296,83,13304,0.62
2015-05-04,579,154,18681,0.82
2015-05-05,565,225,22225,1.01
2015-05-06,647,258,23015,1.12
2015-05-07,578,217,22369,0.97
2015-05-08,532,126,18766,0.67
2015-05-09,279,63,12353,0.51
2015-05-10,312,60,11771,0.51
2015-05-11,390,84,15704,0.53
2015-05-12,577,186,21611,0.86
2015-05-13,584,208,22975,0.91
2015-05-14,669,256,23231,1.1
2015-05-15,511,185,21498,0.86
2015-05-16,417,130,18766,0.69
2015-05-17,494,169,20216,0.84
2015-05-18,650,245,26189,0.94
2015-05-19,654,196,25949,0.76
2015-05-20,423,125,21688,0.58
2015-05-21,552,131,20993,0.62
2015-05-22,463,154,20446,0.75
2015-05-23,357,113,15938,0.71
2015-05-24,320,97,16831,0.58
2015-05-25,579,178,23106,0.77
2015-05-26,581,194,21222,0.91
2015-05-27,528,197,21211,0.93
2015-05-28,582,225,21215,1.06
2015-05-29,449,137,18988,0.72
2015-05-30,451,116,15463,0.75
2015-05-31,350,99,15948,0.62
2015-06-01,522,200,22074,0.91
2015-06-02,525,206,22605,0.91
2015-06-03,579,204,22776,0.9
2015-06-04,604,205,22820,0.9
2015-06-05,452,149,20213,0.74
2015-06-06,377,104,15679,0.66
2015-06-07,346,106,15699,0.68
2015-06-08,541,192,20208,0.95
2015-06-09,472,132,23078,0.57
2015-06-10,599,210,23214,0.9
2015-06-11,503,157,20255,0.78
2015-06-12,332,107,15427,0.69
2015-06-13,278,60,11932,0.5
2015-06-14,356,108,13691,0.79
2015-06-15,624,191,21451,0.89
2015-06-16,800,276,23591,1.17
2015-06-17,680,269,22948,1.17
2015-06-18,702,220,22402,0.98
2015-06-19,493,166,19962,0.83
2015-06-20,404,111,15053,0.74
2015-06-21,333,83,15217,0.55
2015-06-22,598,234,22462,1.04
2015-06-23,633,250,22733,1.1
2015-06-24,584,177,21199,0.83
2015-06-25,510,204,19557,1.04
2015-06-26,481,177,19217,0.92
2015-06-27,372,91,15014,0.61
2015-06-28,342,89,16764,0.53
2015-06-29,524,203,22257,0.91
2015-06-30,529,162,20757,0.78
2015-07-01,480,195,20089,0.97
2015-07-02,467,155,20791,0.75
2015-07-03,496,155,20131,0.77
2015-07-04,364,119,15609,0.76
2015-07-05,477,100,15173,0.66
2015-07-06,553,219,21584,1.01
2015-07-07,671,247,23467,1.05
2015-07-08,691,259,24085,1.08
2015-07-09,678,207,24112,0.86
2015-07-10,643,181,22327,0.81
2015-07-11,377,98,20319,0.48
2015-07-12,335,91,20701,0.44
2015-07-13,669,216,25234,0.86
2015-07-14,634,231,26007,0.89
2015-07-15,564,216,23361,0.92
2015-07-16,616,239,20777,1.15
2015-07-17,448,139,19599,0.71
2015-07-18,399,102,15988,0.64
2015-07-19,372,116,16316,0.71
2015-07-20,727,232,24373,0.95
2015-07-21,673,227,22713,1.0
2015-07-22,771,267,21289,1.25
2015-07-23,657,234,20710,1.13
2015-07-24,545,137,22073,0.62
2015-07-25,439,116,26551,0.44
2015-07-26,481,144,32078,0.45
2015-07-27,673,267,27622,0.97
2015-07-28,721,273,20986,1.3
2015-07-29,630,240,22330,1.07
2015-07-30,567,214,20193,1.06
2015-07-31,544,166,18232,0.91
2015-08-01,384,79,14996,0.53
2015-08-02,362,105,14753,0.71
2015-08-03,569,198,20502,0.97
2015-08-04,588,209,20438,1.02
2015-08-05,626,237,19542,1.21
2015-08-06,534,127,19669,0.65
2015-08-07,601,175,18570,0.94
2015-08-08,331,67,12459,0.54
2015-08-09,303,60,12754,0.47
2015-08-10,523,129,17772,0.73
2015-08-11,387,129,17690,0.73
2015-08-12,557,195,19331,1.01
2015-08-13,516,177,18466,0.96
2015-08-14,422,112,16442,0.68
2015-08-15,344,92,12987,0.71
2015-08-16,381,78,14033,0.56
2015-08-17,621,209,20028,1.04
2015-08-18,530,201,20020,1.0
2015-08-19,541,219,19328,1.13
2015-08-20,519,208,18488,1.13
2015-08-21,446,132,17172,0.77
2015-08-22,340,91,13817,0.66
2015-08-23,343,94,13577,0.69
2015-08-24,528,179,18033,0.99
2015-08-25,498,165,19018,0.87
2015-08-26,569,205,18204,1.13
2015-08-27,514,210,18842,1.11
2015-08-28,564,152,18886,0.8
2015-08-29,355,77,14533,0.53
2015-08-30,575,146,15557,0.94
2015-08-31,454,175,17998,0.97
2015-09-01,444,158,17576,0.9
2015-09-02,421,141,16977,0.83
2015-09-03,450,138,17453,0.79
2015-09-04,455,153,17125,0.89
2015-09-05,311,80,13974,0.57
2015-09-06,371,79,14124,0.56
2015-09-07,572,189,19032,0.99
2015-09-08,508,148,20159,0.73
2015-09-09,574,192,20995,0.91
2015-09-10,480,181,21887,0.83
2015-09-11,634,211,20672,1.02
2015-09-12,370,102,15024,0.68
2015-09-13,398,88,16373,0.54
2015-09-14,475,154,20284,0.76
2015-09-15,595,158,19674,0.8
2015-09-16,336,137,11022,1.24
2015-09-17,253,45,9830,0.46
2015-09-18,34,15,1479,1.01
